round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
11,"[0.3186309039592743, 0.12299047410488129, 0.13195306062698364, 0.1399584710597992, 0.2864670753479004]","[0.09997797012329102, 0.09537521749734879, 0.011075284332036972, -0.15369385480880737, 0.03550868481397629]","[0.23056285083293915, 0.08899649977684021, 0.09548186510801315, 0.10127462446689606, 0.2072889506816864]","[0.10012031346559525, 0.0954674780368805, 0.010266775265336037, -0.15423651039600372, 0.035781633108854294]","[-0.0001423450739821419, -9.226312977261841e-05, 0.0008085262379609048, 0.0005426378338597715, -0.00027291954029351473]",,,0.0,0,,6.013588905334473,6.246739387512207,"[0.13954344, 0.1331192, 0.01545824, -0.21451697, 0.04956096]",0.7118476190476191,0.058081175738498025,0.0
12,"[0.3146500289440155, 0.12149378657341003, 0.15121905505657196, 0.14321395754814148, 0.2694232165813446]","[0.0030496232211589813, 0.0013620983809232712, 0.09816738963127136, 0.024525191634893417, -0.05964534729719162]","[0.20794154703617096, 0.08029112964868546, 0.09993555396795273, 0.09464525431394577, 0.17805267870426178]","[0.0031533073633909225, 0.0011681895703077316, 0.0976073145866394, 0.024482358247041702, -0.05927245318889618]","[-0.00010368635412305593, 0.00019389820226933807, 0.0005600698641501367, 4.28422681579832e-05, -0.00037288907333277166]",,,0.0,0,,6.028707981109619,6.064694881439209,"[0.00434976, 0.0019428, 0.14001873, 0.03498093, -0.08507373]",0.7082666666666666,0.044047734549365725,0.0
13,"[0.33304181694984436, 0.13510382175445557, 0.14667482674121857, 0.11969882994890213, 0.26548072695732117]","[0.06337687373161316, 0.05506669729948044, -0.032453540712594986, -0.12104514986276627, -0.03829515725374222]","[0.19504305720329285, 0.0791223794221878, 0.08589883893728256, 0.0701005831360817, 0.15547648072242737]","[0.06340345740318298, 0.055107682943344116, -0.032837528735399246, -0.12131829559803009, -0.03787858039140701]","[-2.6593463189783506e-05, -4.096187694813125e-05, 0.00038399104960262775, 0.00027315496117807925, -0.0004165848658885807]",,,0.0,0,,6.046013355255127,6.10745906829834,"[0.07895671, 0.06860366, -0.04043154, -0.15080148, -0.04770919]",0.6870857142857142,0.049561654301676805,0.0
14,"[0.3232214152812958, 0.11760275810956955, 0.17169338464736938, 0.11266496777534485, 0.27481749653816223]","[-0.03569280356168747, -0.07603882253170013, 0.11791536211967468, -0.02878747135400772, 0.04971965029835701]","[0.1713830679655075, 0.062357012182474136, 0.09103772044181824, 0.05973882973194122, 0.14571765065193176]","[-0.03572378307580948, -0.07579796016216278, 0.11754275858402252, -0.028548697009682655, 0.050108540803194046]","[3.097445733146742e-05, -0.00024086434859782457, 0.0003726373834069818, -0.00023876629711594433, -0.00038892411976121366]",,,0.0,0,,6.0593647956848145,6.145102024078369,"[-0.04155679, -0.08853126, 0.13728771, -0.03351697, 0.05788811]",0.6947809523809524,0.03070492750465803,0.0
15,"[0.3435805141925812, 0.13290756940841675, 0.15330533683300018, 0.08441384136676788, 0.2857927083969116]","[0.05713199824094772, 0.05797100067138672, -0.10715146362781525, -0.14651861786842346, 0.018747972324490547]","[0.15989148616790771, 0.06185097247362137, 0.07134344428777695, 0.039283525198698044, 0.13299886882305145]","[0.05710519477725029, 0.057883985340595245, -0.10794556885957718, -0.14686477184295654, 0.019123155623674393]","[2.679930730664637e-05, 8.703167986823246e-05, 0.0007941806688904762, 0.0003461652959231287, -0.00037517963210120797]",,,0.0,0,,6.028035640716553,6.082779884338379,"[0.0564674, 0.05729664, -0.105905, -0.14481421, 0.01852988]",0.6928000000000001,0.040248688707460345,0.0
16,"[0.3356577157974243, 0.1413784921169281, 0.1529950052499771, 0.07480049133300781, 0.29516834020614624]","[-0.003969759680330753, 0.050971247255802155, 0.012907048687338829, -0.0358721986413002, 0.06936942040920258]","[0.14352940022945404, 0.0604543499648571, 0.06542164832353592, 0.031985171139240265, 0.1262158751487732]","[-0.0038956422358751297, 0.05086667090654373, 0.012522734701633453, -0.03600376471877098, 0.06968767195940018]","[-7.41141484468244e-05, 0.00010460343037266284, 0.0003843532467726618, 0.00013159732043277472, -0.00031825253972783685]",,,0.0,0,,6.0345587730407715,6.056910037994385,"[-0.00372938, 0.04788478, 0.01212549, -0.03370003, 0.06516889]",0.7104761904761905,0.0378732310736315,0.0
17,"[0.34067657589912415, 0.1379539519548416, 0.15877455472946167, 0.06000923365354538, 0.3025856018066406]","[0.11335766315460205, 0.02259252965450287, 0.06752801686525345, -0.04699403792619705, 0.11332575976848602]","[0.13938884437084198, 0.05644427612423897, 0.06496308743953705, 0.024552958086133003, 0.12380380928516388]","[0.11357885599136353, 0.02251157909631729, 0.06726457923650742, -0.0469541996717453, 0.11359380185604095]","[-0.00022118382912594825, 8.094156510196626e-05, 0.0002634449047036469, -3.9848178857937455e-05, -0.0002680872566998005]",,,0.0,0,,6.051390647888184,6.149415493011475,"[0.10212398, 0.02035362, 0.06083603, -0.04233696, 0.10209525]",0.6882285714285714,0.03650998052964338,0.0
18,"[0.32828912138938904, 0.15778039395809174, 0.16047649085521698, 0.040133483707904816, 0.3133205473423004]","[-0.05674164742231369, 0.06235731393098831, -0.0007675923407077789, -0.07077284157276154, 0.024270467460155487]","[0.11944003403186798, 0.057404566556215286, 0.05838547646999359, 0.01460159383714199, 0.11399408429861069]","[-0.05675064027309418, 0.06179524213075638, -0.0014492012560367584, -0.0713224858045578, 0.024475615471601486]","[8.990044989332091e-06, 0.000562066154088825, 0.0006816919194534421, 0.0005496437079273164, -0.00020516787481028587]",,,0.0,0,,6.089139461517334,6.203447341918945,"[-0.06009922, 0.06604718, -0.00081301, -0.07496069, 0.02570662]",0.6997333333333333,0.05328444798185994,0.0
19,"[0.35947826504707336, 0.17073504626750946, 0.128470316529274, 0.016313884407281876, 0.3250024616718292]","[0.07406352460384369, 0.02828061766922474, -0.13363385200500488, -0.09026473760604858, 0.005683442112058401]","[0.1140325739979744, 0.054160039871931076, 0.04075295105576515, 0.005175039172172546, 0.10309626907110214]","[0.07417338341474533, 0.028223376721143723, -0.13400022685527802, -0.09045186638832092, 0.006032402627170086]","[-0.00010985471453750506, 5.71882956137415e-05, 0.00036633535637520254, 0.00018713039753492922, -0.0003489745722617954]",,,0.0,0,,6.05974817276001,6.114368438720703,"[0.06536542, 0.02495931, -0.11793974, -0.07966394, 0.00501597]",0.6989714285714286,0.030369589451856527,0.0
20,"[0.3260590434074402, 0.19972817599773407, 0.12295420467853546, 0.029067669063806534, 0.3221908211708069]","[-0.009226576425135136, 0.1573612093925476, 0.019873233512043953, 0.05102699249982834, 0.09044601023197174]","[0.10183001309633255, 0.062376197427511215, 0.03839926794171333, 0.009077991358935833, 0.10062195360660553]","[-0.009352841414511204, 0.15667861700057983, 0.01905808411538601, 0.05081377178430557, 0.09105678647756577]","[0.0001262545702047646, 0.0006825554301030934, 0.0008151883375830948, 0.00021323222608771175, -0.0006108139059506357]",,,0.0,0,,6.0281548500061035,6.0848588943481445,"[-0.00799296, 0.13632163, 0.01721613, 0.04420456, 0.07835316]",0.728,0.0312016680815852,0.0
