round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.0, 0.06110778823494911, 0.0, 0.45067426562309265, 0.48821794986724854]","[-0.2017250657081604, 0.016088273376226425, -0.0026034796610474586, 0.11865215748548508, 0.12853653728961945]","[-0.7952572703361511, 0.06342452019453049, -0.010263652540743351, 0.4677603542804718, 0.506727397441864]","[-0.20122194290161133, 0.015957077965140343, -0.002536630257964134, 0.1188378632068634, 0.12832072377204895]","[-0.0005031548789702356, 0.00013121282972861081, -6.68642605887726e-05, -0.00018570697284303606, 0.00021583191119134426]",,,0.0,1,,6.327268600463867,62.77211380004883,"[-0.79525727, 0.06342452, -0.01026365, 0.46776035, 0.5067274]",0.6568380952380953,0.021844453936399444,0.0
2,"[0.0, 0.07365136593580246, 0.04288453608751297, 0.4179493188858032, 0.46551477909088135]","[-0.14873579144477844, 0.06775300949811935, 0.19447173178195953, 0.030226506292819977, 0.08053167909383774]","[-0.7564833760261536, 0.07564560323953629, 0.04404570907354355, 0.4292660057544708, 0.4781194031238556]","[-0.1493053436279297, 0.0682549774646759, 0.191555917263031, 0.028581995517015457, 0.08138658106327057]","[0.000569551601074636, -0.0005019628442823887, 0.0029158343095332384, 0.0016445247456431389, -0.00085492676589638]",,,0.0,1,,6.187122821807861,61.58907699584961,"[-0.4075188, 0.18563537, 0.53282994, 0.08281711, 0.22064745]",0.6730666666666667,0.11944551815455984,0.0
3,"[0.0, 0.10085290670394897, 0.06116237863898277, 0.39061233401298523, 0.4473724067211151]","[-0.3174556791782379, 0.18473924696445465, 0.12168552726507187, -0.0032838555052876472, 0.06756535917520523]","[-0.7350057363510132, 0.09960499405860901, 0.060405582189559937, 0.3857790529727936, 0.44183680415153503]","[-0.315834105014801, 0.18376365303993225, 0.12210091948509216, -0.003630411811172962, 0.06652861833572388]","[-0.0016215526266023517, 0.0009756014915183187, -0.0004153766785748303, 0.00034659888478927314, 0.0010367317590862513]",,,0.0,1,,6.0829758644104,61.473670959472656,"[-0.5417071, 0.31523949, 0.20764446, -0.00560358, 0.11529368]",0.6940190476190476,0.04662006027823273,0.0
4,"[0.0, 0.10620987415313721, 0.10343507677316666, 0.37423738837242126, 0.4161176383495331]","[-0.31286752223968506, 0.0636071264743805, 0.2440890222787857, 0.05085286870598793, -0.007589129731059074]","[-0.7180817127227783, 0.10114670544862747, 0.09850418567657471, 0.35639697313308716, 0.3962807357311249]","[-0.31320130825042725, 0.06382013112306595, 0.24190936982631683, 0.0493500716984272, -0.00699860043823719]","[0.00033379162778146565, -0.0002130339853465557, 0.002179650589823723, 0.0015027689514681697, -0.0005905425059609115]",,,0.0,1,,6.027650833129883,60.70789337158203,"[-0.56576526, 0.11502217, 0.44139156, 0.09195837, -0.01372359]",0.6871619047619049,0.05149686572652312,0.0
5,"[0.0, 0.12821441888809204, 0.1228938102722168, 0.3423386514186859, 0.40655314922332764]","[-0.3394121825695038, 0.1522011160850525, 0.13661454617977142, -0.10835376381874084, 0.03211463242769241]","[-0.6975062489509583, 0.11400610208511353, 0.10927511006593704, 0.3044017553329468, 0.36150020360946655]","[-0.33900022506713867, 0.15196733176708221, 0.13712534308433533, -0.10840300470590591, 0.031496673822402954]","[-0.0004119490913581103, 0.00023377445177175105, -0.0005108230980113149, 4.9248861614614725e-05, 0.0006179970223456621]",,,0.0,1,,6.0742292404174805,60.610164642333984,"[-0.51232719, 0.22974065, 0.20621343, -0.16355507, 0.04847557]",0.6649142857142857,0.056057824882621454,0.0
6,"[0.0, 0.1506531983613968, 0.15781696140766144, 0.30484652519226074, 0.38668331503868103]","[-0.4379790425300598, 0.18166574835777283, 0.26206278800964355, -0.15340903401374817, -0.020577695220708847]","[-0.6835229396820068, 0.1257367730140686, 0.13171572983264923, 0.2544281780719757, 0.32273003458976746]","[-0.43858641386032104, 0.18167293071746826, 0.26121848821640015, -0.1543971598148346, -0.01979288086295128]","[0.0006073332042433321, -7.198215371317929e-06, 0.0008442538091912866, 0.0009881564183160663, -0.0007848333916626871]",,,0.0,1,,6.023361682891846,60.66770553588867,"[-0.55767339, 0.23131278, 0.33368134, -0.19533385, -0.02620133]",0.6820571428571428,0.04235740411375777,0.0
7,"[0.0, 0.17630602419376373, 0.18768447637557983, 0.27140292525291443, 0.36460649967193604]","[-0.6495091915130615, 0.21523144841194153, 0.24578654766082764, -0.14360500872135162, -0.04411369562149048]","[-0.6900924444198608, 0.137990340590477, 0.14689597487449646, 0.21242031455039978, 0.2853684425354004]","[-0.6497923135757446, 0.21551305055618286, 0.24498650431632996, -0.14425668120384216, -0.043253734707832336]","[0.0002831201709341258, -0.00028158826171420515, 0.0008000560919754207, 0.0006516728899441659, -0.0008599675493314862]",,,0.0,1,,6.095621109008789,60.81639099121094,"[-0.74921787, 0.24827246, 0.2835182, -0.16565037, -0.05088576]",0.6534095238095239,0.02969459392081497,0.0
8,"[0.0, 0.19454635679721832, 0.20327620208263397, 0.2466985136270523, 0.35547885298728943]","[-0.5094311237335205, 0.1479209065437317, 0.13276085257530212, -0.1131591647863388, 0.0033599436283111572]","[-0.6781612038612366, 0.1407647430896759, 0.14708125591278076, 0.17849962413311005, 0.25720804929733276]","[-0.5100588798522949, 0.14767485857009888, 0.13175934553146362, -0.11306065320968628, 0.0045773983001708984]","[0.0006277868524193764, 0.0002460801915731281, 0.0010015219449996948, -9.850430069491267e-05, -0.0012174659641459584]",,,0.0,1,,6.075920581817627,60.523399353027344,"[-0.57077986, 0.16573443, 0.14874871, -0.12678647, 0.00376457]",0.6584380952380952,0.008394538512099148,0.0
9,"[0.0, 0.20744460821151733, 0.20209166407585144, 0.21567514538764954, 0.3747885823249817]","[-0.5580059289932251, 0.08269978314638138, 0.0008353143930435181, -0.17167042195796967, 0.12625670433044434]","[-0.6730105876922607, 0.1359756737947464, 0.13246692717075348, 0.14137062430381775, 0.24566620588302612]","[-0.5591263175010681, 0.0826069712638855, -0.0012170877307653427, -0.17175234854221344, 0.12550967931747437]","[0.0011203637113794684, 9.283506369683892e-05, 0.0020523753482848406, 8.199459261959419e-05, 0.000746981066185981]",,,0.0,1,,6.013611793518066,60.52265548706055,"[-0.62665528, 0.09287402, 0.00093808, -0.19279037, 0.14178959]",0.6850285714285714,0.07950242511876981,0.0
10,"[0.0, 0.23500333726406097, 0.2105453908443451, 0.19249500334262848, 0.36195623874664307]","[-0.5083674192428589, 0.15962928533554077, 0.048575881868600845, -0.13536882400512695, -0.07566015422344208]","[-0.6572708487510681, 0.13856856524944305, 0.12414705753326416, 0.11350373178720474, 0.21342572569847107]","[-0.5082744359970093, 0.15959781408309937, 0.048643067479133606, -0.13541138172149658, -0.07571394741535187]","[-9.299669181928039e-05, 3.1480340112466365e-05, -6.714305345667526e-05, 4.2533210944384336e-05, 5.378163405111991e-05]",,,0.0,1,,6.11761474609375,60.663055419921875,"[-0.51561344, 0.16190456, 0.04926826, -0.1372983, -0.07673857]",0.6725333333333333,0.023532300990921295,0.0
11,"[0.0, 0.2680678069591522, 0.20477016270160675, 0.17643190920352936, 0.35073015093803406]","[-0.6653480529785156, 0.21339446306228638, -0.01969495229423046, -0.08224410563707352, -0.04158899933099747]","[-0.6515164971351624, 0.1439465433359146, 0.10995709896087646, 0.09474007785320282, 0.1883344203233719]","[-0.6656915545463562, 0.2133653461933136, -0.020491566509008408, -0.08230186253786087, -0.04125954955816269]","[0.00034347266773693264, 2.9087101211189292e-05, 0.0007966191624291241, 5.776021862402558e-05, -0.0003294165071565658]",,,0.0,1,,6.063543796539307,60.789634704589844,"[-0.59972781, 0.19234833, -0.01775253, -0.07413274, -0.03748726]",0.6934857142857143,0.014731884406980589,0.0
12,"[0.0, 0.3068279027938843, 0.21105033159255981, 0.15390491485595703, 0.32821691036224365]","[-0.5602932572364807, 0.1256108283996582, -0.014941969886422157, -0.14568322896957397, -0.1837477684020996]","[-0.6408204436302185, 0.14176017045974731, 0.09750915318727493, 0.071106918156147, 0.15164227783679962]","[-0.5605210065841675, 0.12556049227714539, -0.015232935547828674, -0.14599645137786865, -0.18360349535942078]","[0.0002276656887261197, 5.0371756515232846e-05, 0.0002909773029386997, 0.0003131802659481764, -0.00014427932910621166]",,,0.0,1,,6.039064884185791,60.18080139160156,"[-0.54455662, 0.12208287, -0.0145223, -0.1415915, -0.17858694]",0.6838095238095239,0.04831425705397041,0.0
13,"[0.0, 0.3309745192527771, 0.1929488331079483, 0.1385105699300766, 0.3375660479068756]","[-0.7840925455093384, 0.10884694755077362, -0.10557284951210022, -0.08839340507984161, 0.03075973317027092]","[-0.6388073563575745, 0.13620050251483917, 0.07940106093883514, 0.056998979300260544, 0.13891300559043884]","[-0.783491849899292, 0.108758844435215, -0.10543995350599289, -0.08819803595542908, 0.030276581645011902]","[-0.0006007269839756191, 8.811016596155241e-05, -0.00013288234185893089, -0.0001953937899088487, 0.00048313845763914287]",,,0.0,1,,6.087359428405762,61.446983337402344,"[-0.62068975, 0.08616354, -0.08357175, -0.06997246, 0.02434949]",0.6873142857142858,0.0028331559976106924,0.0
14,"[0.0, 0.36726701259613037, 0.17353807389736176, 0.13887251913547516, 0.3203223943710327]","[-0.7678407430648804, 0.1240747720003128, -0.11279115080833435, -0.015731338411569595, -0.12105138599872589]","[-0.635577917098999, 0.13238105177879333, 0.06255163997411728, 0.050056468695402145, 0.11545991152524948]","[-0.7680987119674683, 0.12438879907131195, -0.11333349347114563, -0.015922794118523598, -0.12056078016757965]","[0.00025793284294195473, -0.000313987722620368, 0.0005423209513537586, 0.0001914727472467348, -0.0004905934329144657]",,,0.0,1,,6.1695356369018555,60.45856475830078,"[-0.60651326, 0.098006, -0.08909312, -0.0124261, -0.09561784]",0.680152380952381,0.012462153804772336,0.0
15,"[0.0, 0.4283163845539093, 0.14201299846172333, 0.11217176914215088, 0.3174988329410553]","[-0.8072800040245056, 0.2577162981033325, -0.15696510672569275, -0.13241130113601685, -0.03410148248076439]","[-0.6279447674751282, 0.13699635863304138, 0.04542264714837074, 0.03587797284126282, 0.10155152529478073]","[-0.8056380748748779, 0.2571985125541687, -0.15768595039844513, -0.1332450658082962, -0.034618452191352844]","[-0.0016419560415670276, 0.0005177358980290592, 0.0007207957096397877, 0.0008337676408700645, 0.0005170174990780652]",,,0.0,1,,6.081067085266113,61.05949783325195,"[-0.55924678, 0.17853411, -0.10873827, -0.09172851, -0.02362395]",0.6804571428571429,0.05170846818576991,0.0
16,"[0.0, 0.4401172995567322, 0.14576135575771332, 0.08241426944732666, 0.33170703053474426]","[-0.6511548757553101, 0.0020018648356199265, 5.9839338064193726e-05, -0.12017129361629486, 0.021547846496105194]","[-0.6148579120635986, 0.12344954162836075, 0.04088494926691055, 0.023116573691368103, 0.09304128587245941]","[-0.6511867046356201, 0.002005046233534813, 2.183765172958374e-05, -0.12020155787467957, 0.02158427983522415]","[3.183277294738218e-05, -3.143127059956896e-06, 3.797003228100948e-05, 3.0260271159932017e-05, -3.639269561972469e-05]",,,0.0,1,,6.08294677734375,60.38658142089844,"[-0.49707675, 0.00152818, 4.568e-05, -0.09173602, 0.01644913]",0.6992,0.0213843560688749,0.0
17,"[0.0, 0.43976831436157227, 0.1536107063293457, 0.05389774590730667, 0.35272321105003357]","[-0.9782077074050903, 0.107634998857975, 0.06577420979738235, -0.08745960146188736, 0.16160948574543]","[-0.6232306957244873, 0.11879132688045502, 0.04149371385574341, 0.014558995142579079, 0.09527848660945892]","[-0.978023886680603, 0.1076112687587738, 0.06552619487047195, -0.08773120492696762, 0.16157576441764832]","[-0.00018378118693362921, 2.3722748665022664e-05, 0.00024801521794870496, 0.0002715729351621121, 3.374395237187855e-05]",,,0.0,1,,6.169411659240723,60.86993408203125,"[-0.69858629, 0.07686745, 0.0469726, -0.0624592, 0.11541329]",0.7129142857142856,0.035287865460336576,0.0
18,"[0.0, 0.5335246324539185, 0.10144510120153427, 0.05376863479614258, 0.3112615644931793]","[-0.5044968128204346, 0.10558036714792252, -0.17187687754631042, -0.015626586973667145, -0.20211823284626007]","[-0.605629563331604, 0.11627153307199478, 0.022108027711510658, 0.011717850342392921, 0.06783352792263031]","[-0.5044153928756714, 0.10561470687389374, -0.17186062037944794, -0.015544487163424492, -0.2021978795528412]","[-8.149298810167238e-05, -3.432559969951399e-05, -1.6236239389399998e-05, -8.207799692172557e-05, 7.964981341501698e-05]",,,0.0,1,,6.23034143447876,60.5882568359375,"[-0.44721958, 0.09359347, -0.15236312, -0.01385245, -0.17917107]",0.6825142857142857,0.04190465017748346,0.0
19,"[0.0, 0.41822361946105957, 0.14778457581996918, 0.14540573954582214, 0.2885861098766327]","[-0.9623427391052246, -0.10695607215166092, 0.22587202489376068, 0.3616456985473633, 0.09843382239341736]","[-0.607406735420227, 0.0977158173918724, 0.03452911227941513, 0.03397331014275551, 0.06742667406797409]","[-0.962367057800293, -0.10694810003042221, 0.2258533090353012, 0.361665278673172, 0.09842964261770248]","[2.431328539387323e-05, -7.974840627866797e-06, 1.8716402337304316e-05, -1.9676179363159463e-05, 4.1811576920736115e-06]",,,0.0,1,,6.375200271606445,62.12287521362305,"[-0.62340134, -0.06928566, 0.14631888, 0.23427247, 0.06376499]",0.6967619047619048,0.02595333265919253,0.0
20,"[0.0, 0.4957360625267029, 0.09632915258407593, 0.14745016396045685, 0.26048460602760315]","[-1.1192774772644043, 0.4190402925014496, -0.15689443051815033, 0.04936042055487633, -0.026423342525959015]","[-0.6123576164245605, 0.1125381588935852, 0.021867897361516953, 0.03347299247980118, 0.059133194386959076]","[-1.1192429065704346, 0.41904476284980774, -0.15687769651412964, 0.04939024895429611, -0.02644074708223343]","[-3.450353324296884e-05, -4.391769834910519e-06, -1.660725502006244e-05, -2.9863085728720762e-05, 1.7402247976860963e-05]",,,0.0,1,,6.240860939025879,61.553062438964844,"[-0.6569159, 0.24593922, -0.09208301, 0.02897016, -0.01550814]",0.7114666666666667,0.04340694040929438,0.0
