round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.0, 0.26191097497940063, 0.2689021825790405, 0.2344290167093277, 0.23475782573223114]","[-0.10063502192497253, 0.1381920874118805, 0.14188086986541748, 0.12369178980588913, 0.1238652765750885]","[-0.355288565158844, 0.487882524728775, 0.5009056329727173, 0.43668970465660095, 0.43730220198631287]","[-0.09943059086799622, 0.13781079649925232, 0.1414235234260559, 0.12397844344377518, 0.12349142134189606]","[-0.0012044345494359732, 0.0003812806389760226, 0.00045735781895928085, -0.00028668507002294064, 0.0003738829691428691]",,,0.0,0,"[1, 4, 2, 3]",6.34710693359375,6.468257904052734,"[-0.35528857, 0.48788252, 0.50090563, 0.4366897, 0.4373022]",0.7170285714285715,0.030923493269286784,0.0
2,"[0.0, 0.2522956132888794, 0.2648422420024872, 0.24474681913852692, 0.23811529576778412]","[-0.11752323061227798, -0.016635339707136154, 0.007669266313314438, 0.06569215655326843, 0.0360846184194088]","[-0.3670616149902344, 0.4323987066745758, 0.45390185713768005, 0.4194611608982086, 0.40809565782546997]","[-0.11990636587142944, -0.01782984659075737, 0.006984531879425049, 0.0665799081325531, 0.03553949296474457]","[0.002383126411587, 0.0011944732395932078, 0.0006847321637906134, -0.0008877135114744306, 0.0005451317992992699]",,,0.0,0,"[1, 2, 4, 3]",6.1891632080078125,6.322917461395264,"[-0.4730193, -0.06695559, 0.03086803, 0.26440439, 0.145237]",0.6742857142857143,0.005942853309502394,0.0
3,"[0.0, 0.24921299517154694, 0.25501391291618347, 0.2590343952178955, 0.23673871159553528]","[-0.09649021178483963, 0.0363154374063015, 0.010343194007873535, 0.10803191363811493, 0.04073290154337883]","[-0.3673951029777527, 0.4030992090702057, 0.4124821126461029, 0.4189852178096771, 0.3829222023487091]","[-0.09710133820772171, 0.036472368985414505, 0.010321948677301407, 0.10820184648036957, 0.040853358805179596]","[0.0006111140246503055, -0.00015692293527536094, 2.1243908122414723e-05, -0.00016986903210636228, -0.00012048184726154432]",,,0.0,0,"[1, 2, 4, 3]",6.015444278717041,6.30790901184082,"[-0.3703967, 0.13940397, 0.03970439, 0.41470179, 0.15636127]",0.7104,0.030891316583596395,0.0
4,"[0.0, 0.2507086396217346, 0.2435135543346405, 0.27738386392593384, 0.22839388251304626]","[-0.047466911375522614, 0.025916146114468575, -0.018884794786572456, 0.085456982254982, -0.009408153593540192]","[-0.3509712219238281, 0.3738812804222107, 0.3631512522697449, 0.4136619567871094, 0.3406033217906952]","[-0.04970843344926834, 0.026069439947605133, -0.0187077559530735, 0.08585062623023987, -0.01031408179551363]","[0.0022415281273424625, -0.00015328184235841036, -0.00017699769523460418, -0.0003936607390642166, 0.0009059303556568921]",,,0.0,0,"[1, 2, 4, 3]",5.99544095993042,6.244657039642334,"[-0.20315662, 0.11092015, -0.08082622, 0.36575273, -0.04026655]",0.6812952380952382,0.015248806507660362,0.0
5,"[0.0, 0.24219268560409546, 0.2372203916311264, 0.2923947274684906, 0.2281922549009323]","[-0.15126213431358337, 0.004605351947247982, 0.013553274795413017, 0.11723294109106064, 0.038876041769981384]","[-0.36185452342033386, 0.3378930687904358, 0.33095601201057434, 0.40793201327323914, 0.31836047768592834]","[-0.1529472917318344, 0.00495120557025075, 0.013609065674245358, 0.11766621470451355, 0.038538094609975815]","[0.0016851526452228427, -0.0003458470746409148, -5.5781642004149035e-05, -0.00043327693128958344, 0.0003379471891093999]",,,0.0,0,"[1, 2, 4, 3]",6.0307440757751465,6.289336204528809,"[-0.45980415, 0.01399927, 0.04119902, 0.35636276, 0.11817475]",0.6873904761904761,0.032334655493069964,0.0
6,"[0.0, 0.24952799081802368, 0.21930290758609772, 0.30303019285202026, 0.2281389683485031]","[-0.09792761504650116, 0.036333583295345306, -0.048800282180309296, 0.049847885966300964, 0.0108199967071414]","[-0.3627772033214569, 0.3178718090057373, 0.2793683111667633, 0.38602787256240845, 0.2906244993209839]","[-0.10069765895605087, 0.036958567798137665, -0.04910600930452347, 0.050003841519355774, 0.0111044617369771]","[0.002770043211057782, -0.0006249716388992965, 0.0003057291032746434, -0.00015595630975440145, -0.00028446479700505733]",,,0.0,0,"[1, 4, 2, 3]",5.965246200561523,6.214073181152344,"[-0.37108153, 0.13768049, -0.18492112, 0.18889084, 0.0410007]",0.6582095238095238,0.04828718559265355,0.0
7,"[0.0, 0.24354583024978638, 0.20028498768806458, 0.3230513036251068, 0.23311789333820343]","[-0.1675512194633484, 0.01519838348031044, -0.055840976536273956, 0.15567322075366974, 0.06643825769424438]","[-0.36612895131111145, 0.2896793782711029, 0.2382238656282425, 0.3842451572418213, 0.2772761285305023]","[-0.17079085111618042, 0.015161246061325073, -0.05580645054578781, 0.15533694624900818, 0.06676249206066132]","[0.0032396377064287663, 3.7131674616830423e-05, -3.453588578850031e-05, 0.00033626300864852965, -0.00032422642107121646]",,,0.0,0,"[1, 4, 3, 2]",5.998505592346191,6.2351155281066895,"[-0.39629495, 0.03594747, -0.13207601, 0.36820093, 0.15714088]",0.6944761904761906,0.05054657329129664,0.0
8,"[0.0, 0.23813295364379883, 0.19427354633808136, 0.3371433615684509, 0.23045013844966888]","[-0.12002601474523544, -0.018798941746354103, -0.020758748054504395, 0.047319553792476654, -0.009456729516386986]","[-0.3673233091831207, 0.25478991866111755, 0.20786263048648834, 0.36072593927383423, 0.2465697079896927]","[-0.12239666283130646, -0.01859414018690586, -0.021021639928221703, 0.04772764444351196, -0.010220402851700783]","[0.0023706385400146246, -0.0002048000751528889, 0.00026288884691894054, -0.0004080786311533302, 0.000763661926612258]",,,0.0,0,"[1, 4, 2, 3]",6.007616996765137,6.271768569946289,"[-0.37807268, -0.05921521, -0.06538845, 0.14905293, -0.02978797]",0.6422857142857143,0.03131192289153295,0.0
9,"[0.0, 0.23047113418579102, 0.17237317562103271, 0.36181962490081787, 0.23533610999584198]","[-0.13438139855861664, -0.0444418229162693, -0.10912203043699265, 0.1024794727563858, 0.014263876713812351]","[-0.3581654727458954, 0.22019162774085999, 0.1646849662065506, 0.34568169713020325, 0.22483961284160614]","[-0.13580209016799927, -0.04401315003633499, -0.10886389017105103, 0.10246410965919495, 0.014467965811491013]","[0.0014206847408786416, -0.0004286864714231342, -0.0002581241715233773, 1.5355906725744717e-05, -0.0002040956460405141]",,,0.0,0,"[1, 4, 2, 3]",5.993066787719727,6.2849955558776855,"[-0.27574515, -0.0911928, -0.22391395, 0.2102837, 0.02926889]",0.6589714285714287,0.06530370518504713,0.0
10,"[0.0, 0.2289668172597885, 0.14783571660518646, 0.3906674385070801, 0.23253002762794495]","[-0.2097446620464325, -0.02766488306224346, -0.12620842456817627, 0.0972268134355545, -0.03397269546985626]","[-0.3615766763687134, 0.19299840927124023, 0.12461218982934952, 0.3292974531650543, 0.19600187242031097]","[-0.21369153261184692, -0.02712467685341835, -0.12730672955513, 0.09630902111530304, -0.03457409888505936]","[0.0039468915201723576, -0.0005402161041274667, 0.0010982798412442207, 0.0009177724714390934, 0.0006014188402332366]",,,0.0,0,"[1, 2, 4, 3]",6.041259765625,6.301895618438721,"[-0.39227745, -0.05174058, -0.23604281, 0.1818396, -0.06353784]",0.6102095238095238,0.05253042209633019,0.0
