round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
11,"[0.21142074465751648, 0.3020661175251007, 0.0, 0.33175718784332275, 0.15475597977638245]","[0.0035921968519687653, 0.039631929248571396, 0.03584934026002884, 0.029827581718564034, -0.005104846321046352]","[0.24114254117012024, 0.34453096985816956, 0.3735544979572296, 0.37839606404304504, 0.17651177942752838]","[0.0042702192440629005, 0.03947656974196434, 0.035517334938049316, 0.02995370328426361, -0.004848922602832317]","[-0.000678023265209049, 0.00015536113642156124, 0.00033198748133145273, -0.00012611030251719058, -0.00025592726888135076]",,,0.0,0,"[3, 4, 1, 0]",6.025730133056641,6.308598518371582,"[0.00935066, 0.10316382, 0.09331755, 0.07764263, -0.01328816]",0.6982095238095238,0.08338967462380731,0.0
12,"[0.0, 0.25405067205429077, 0.3087627589702606, 0.29973721504211426, 0.13744936883449554]","[-0.055079951882362366, -0.036713652312755585, 0.16740041971206665, 0.08853466808795929, 0.026555804535746574]","[0.2064661979675293, 0.30303770303726196, 0.36829957365989685, 0.3575337529182434, 0.16395290195941925]","[-0.05440760403871536, -0.03594166040420532, 0.16664856672286987, 0.08658672869205475, 0.026416998356580734]","[-0.0006723442929796875, -0.0007719912682659924, 0.0007518736529164016, 0.0019479229813441634, 0.00013880654296372086]",,,0.0,0,"[4, 1, 3, 2]",5.993076324462891,6.3308000564575195,"[-0.10562074, -0.07040172, 0.32100531, 0.16977316, 0.05092314]",0.7336380952380951,0.09508842235772907,0.0
13,"[0.20458047091960907, 0.30522602796554565, 0.0, 0.35163724422454834, 0.13855619728565216]","[-0.004288858734071255, 0.00955021008849144, 0.012671204283833504, -0.015838729217648506, -0.07981447875499725]","[0.1846090406179428, 0.27542945742607117, 0.33504602313041687, 0.3173099458217621, 0.12503015995025635]","[-0.004083090461790562, 0.0097403135150671, 0.01257346011698246, -0.015918415039777756, -0.07953911274671555]","[-0.00020577125542331487, -0.00019011838594451547, 9.774449426913634e-05, 7.968156569404528e-05, -0.00027538251015357673]",,,0.0,0,"[3, 1, 4, 0]",6.056369304656982,6.421816349029541,"[-0.0121052, 0.02695524, 0.03576417, -0.04470444, -0.22527446]",0.6910476190476191,0.08383324651742885,0.0
14,"[0.18732017278671265, 0.30943015217781067, 0.0, 0.3710682690143585, 0.13218142092227936]","[-0.07878115773200989, 0.03619479760527611, 0.168222114443779, 0.11656203120946884, -0.02607908844947815]","[0.15356352925300598, 0.25366830825805664, 0.3284134268760681, 0.3041987121105194, 0.10836123675107956]","[-0.0777578130364418, 0.0363357812166214, 0.16831031441688538, 0.11514145135879517, -0.026157880201935768]","[-0.0010233452776446939, -0.00014094995276536793, -8.81728483363986e-05, 0.0014205722836777568, 7.878292672103271e-05]",,,0.0,0,"[4, 3, 1, 0]",5.993895053863525,6.463047504425049,"[-0.125846, 0.05781802, 0.26872012, 0.18619764, -0.04165906]",0.699504761904762,0.09671193559987756,0.0
15,"[0.18552447855472565, 0.31729742884635925, 0.0, 0.3728947341442108, 0.1242833212018013]","[-0.02598586305975914, 0.00019339006394147873, 0.1356629580259323, -0.030048757791519165, -0.04472901299595833]","[0.13350878655910492, 0.22833643853664398, 0.3201006352901459, 0.2683458626270294, 0.08943787962198257]","[-0.025741565972566605, 0.0002737566828727722, 0.13563144207000732, -0.029977647587656975, -0.04469940811395645]","[-0.00024429880431853235, -8.035411883611232e-05, 3.150862903567031e-05, -7.11236716597341e-05, -2.9598249966511503e-05]",,,0.0,0,"[3, 4, 1, 0]",5.972728729248047,6.429206371307373,"[-0.04698376, 0.00034966, 0.24528554, -0.05432969, -0.08087233]",0.7123809523809524,0.09636200208201784,0.0
16,"[0.18922090530395508, 0.3198799788951874, 0.0, 0.3648914396762848, 0.12600766122341156]","[0.03654827922582626, 0.04536816105246544, 0.21062928438186646, 0.002723779994994402, 0.021037422120571136]","[0.125444233417511, 0.21206483244895935, 0.31855589151382446, 0.24190524220466614, 0.08353693783283234]","[0.03691727668046951, 0.04560624435544014, 0.21013812720775604, 0.0022115553729236126, 0.021020080894231796]","[-0.00036900091799907386, -0.0002381268859608099, 0.0004911443102173507, 0.0005122501752339303, 1.7355427189613692e-05]",,,0.0,0,"[3, 4, 1, 0]",6.029736518859863,6.505604267120361,"[0.0528633, 0.06562034, 0.30465341, 0.00393967, 0.03042845]",0.7014857142857144,0.09819499585869373,0.0
17,"[0.0, 0.24507322907447815, 0.41513410210609436, 0.27514711022377014, 0.06464551389217377]","[0.01880849525332451, -0.0006249815924093127, 0.22664281725883484, -0.022075537592172623, -0.15470166504383087]","[0.11592288315296173, 0.1907579004764557, 0.3231283724308014, 0.2141665369272232, 0.050318196415901184]","[0.019415780901908875, -0.00044851237908005714, 0.22652940452098846, -0.02234981209039688, -0.15410198271274567]","[-0.0006072795367799699, -0.00017647827917244285, 0.00011342297511873767, 0.00027429815963841975, -0.0005997117841616273]",,,0.0,0,"[3, 1, 4, 2]",6.0780110359191895,6.534486293792725,"[0.03023071, -0.00100453, 0.36428076, -0.0354818, -0.24865046]",0.7493333333333333,0.08420919108939373,0.0
18,"[0.19876161217689514, 0.3531210124492645, 0.0, 0.40144962072372437, 0.04666773974895477]","[-0.04272625222802162, -0.021443290635943413, -0.0063071041367948055, -0.014702384360134602, -0.09285181760787964]","[0.09360501170158386, 0.16629919409751892, 0.2892322540283203, 0.18905912339687347, 0.021977756172418594]","[-0.04243837296962738, -0.02114027366042137, -0.006240518763661385, -0.01524647418409586, -0.09222942590713501]","[-0.0002878814411815256, -0.00030302206869237125, -6.65950428810902e-05, 0.0005441037937998772, -0.0006224177195690572]",,,0.0,0,"[1, 3, 4, 0]",6.088012218475342,6.3312087059021,"[-0.10725584, -0.05382916, -0.01583274, -0.03690744, -0.2330862]",0.6792380952380952,0.09687653585649869,0.0
19,"[0.0, 0.25281673669815063, 0.4391297996044159, 0.26256123185157776, 0.04549222066998482]","[-0.0024978192523121834, 0.22205659747123718, 0.3822740912437439, 0.08279114961624146, 0.11180165410041809]","[0.08399587124586105, 0.17177380621433258, 0.2983623445034027, 0.178394615650177, 0.030909232795238495]","[-0.0020803315564990044, 0.22182586789131165, 0.38210391998291016, 0.08198688924312592, 0.11243778467178345]","[-0.00041748216608539224, 0.00023075193166732788, 0.00017018409562297165, 0.0008042738190852106, -0.0006361237028613687]",,,0.0,0,"[1, 3, 4, 2]",6.12799072265625,6.556028366088867,"[-0.00248644, 0.22104536, 0.38053325, 0.08241412, 0.11129252]",0.7399619047619047,0.11177507158835065,0.0
20,"[0.0, 0.27441754937171936, 0.44531071186065674, 0.27494505047798157, 0.005326691083610058]","[-0.10126624256372452, 0.029818203300237656, -0.037457555532455444, 0.0023468900471925735, -0.1200924962759018]","[0.05476970225572586, 0.16072887182235718, 0.2608225345611572, 0.16103781759738922, 0.003119891509413719]","[-0.101369708776474, 0.029841452836990356, -0.03744250535964966, 0.0022515025921165943, -0.12025465071201324]","[0.00010346581984777004, -2.324964225408621e-05, -1.5042433915368747e-05, 9.538236918160692e-05, 0.0001620948314666748]",,,0.0,0,"[4, 1, 3, 2]",6.146641731262207,6.540686130523682,"[-0.2082658, 0.0613246, -0.07703581, 0.00482665, -0.24698417]",0.7189333333333333,0.08730945115157296,0.0
