round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.48447903990745544, 0.061554208397865295, 0.0, 0.4539666771888733, 0.0]","[0.1266271024942398, 0.016088273376226425, -0.0026034796610474586, 0.11865215748548508, 0.12853653728961945]","[0.49919983744621277, 0.06342452019453049, -0.010263652540743351, 0.4677603542804718, 0.506727397441864]","[0.126311257481575, 0.015957077965140343, -0.002536630257964134, 0.1188378632068634, 0.12832072377204895]","[0.00031584096723236144, 0.00013121282972861081, -6.68642605887726e-05, -0.00018570697284303606, 0.00021583191119134426]",,,0.0,0,"[0, 1, 2, 3]",6.29165506362915,6.401373863220215,"[0.49919984, 0.06342452, -0.01026365, 0.46776035, 0.5067274]",0.586895238095238,0.0051387871571715316,0.0
2,"[0.47130951285362244, 0.08609616011381149, 0.03486913442611694, 0.4077252149581909, 0.0]","[0.17834344506263733, 0.1321115493774414, 0.1823757439851761, 0.025567740201950073, 0.23422178626060486]","[0.4940567910671234, 0.09025150537490845, 0.036552056670188904, 0.42740362882614136, 0.5148610472679138]","[0.17497479915618896, 0.13008087873458862, 0.17855757474899292, 0.022290486842393875, 0.23534786701202393]","[0.0033686496317386627, 0.0020306832157075405, 0.0038182002026587725, 0.003277260810136795, -0.0011260475730523467]",,,0.0,0,"[0, 1, 3, 2]",4.819022178649902,4.947996139526367,"[0.44776949, 0.33169439, 0.45789343, 0.0641933, 0.58806407]",0.6761904761904762,0.06760288377558471,0.0
3,"[0.47898629307746887, 0.08013972640037537, 0.037218865007162094, 0.4036550521850586, 0.0]","[0.010667050257325172, -0.015612819232046604, 0.0050413222052156925, -0.016333894804120064, 0.05945828557014465]","[0.44883960485458374, 0.07509585469961166, 0.03487636521458626, 0.3782496154308319, 0.4867217242717743]","[0.010528948158025742, -0.01575152762234211, 0.005075836554169655, -0.016265563666820526, 0.0593164898455143]","[0.00013810477685183287, 0.0001387044758303091, -3.453554381849244e-05, -6.835253589088097e-05, 0.0001417940657120198]",,,0.0,0,"[0, 1, 3, 2]",6.084789276123047,6.1102190017700195,"[0.04188503, -0.06130498, 0.01979516, -0.06413634, 0.23346771]",0.6330666666666668,0.04507942728089587,0.0
4,"[0.4056951701641083, 0.081354521214962, 0.048581935465335846, 0.0, 0.46436840295791626]","[0.081557497382164, 0.07011058926582336, 0.07780492305755615, -0.054774172604084015, 0.190805122256279]","[0.4243153929710388, 0.08508846163749695, 0.050811707973480225, 0.3267509937286377, 0.48568156361579895]","[0.08141838014125824, 0.07000759243965149, 0.07787482440471649, -0.054580215364694595, 0.19065168499946594]","[0.00013911115820519626, 0.00010300469875801355, -6.988139648456126e-05, -0.0001939579233294353, 0.0001534450420876965]",,,0.0,0,"[1, 2, 0, 4]",6.023400783538818,6.166807174682617,"[0.20359765, 0.17502195, 0.19422984, -0.13673657, 0.47632009]",0.7011047619047619,0.002864120601408171,0.0
5,"[0.468346506357193, 0.07311809062957764, 0.07899027317762375, 0.3795451521873474, 0.0]","[-0.0003158431500196457, -0.03907901048660278, 0.04292793571949005, 0.03518474102020264, -0.017482418566942215]","[0.3817465901374817, 0.05959814414381981, 0.06438452750444412, 0.3093651235103607, 0.4295165538787842]","[-0.001301145413890481, -0.03812664747238159, 0.04079486057162285, 0.034465622156858444, -0.015574203804135323]","[0.0009852992370724678, -0.0009523503831587732, 0.002133061410859227, 0.0007191241020336747, -0.001908210921101272]",,,0.0,0,"[0, 3, 1, 2]",6.038491725921631,6.1204447746276855,"[-0.00137247, -0.16981471, 0.1865399, 0.15289247, -0.07596844]",0.6759619047619048,0.04791178697243681,0.0
6,"[0.4368920624256134, 0.07895931601524353, 0.12086896598339081, 0.36327964067459106, 0.0]","[-0.039435215294361115, 0.0233455877751112, 0.12281686812639236, -0.006645567715167999, -0.0007090414874255657]","[0.33262982964515686, 0.06011604517698288, 0.09202415496110916, 0.276584655046463, 0.38636815547943115]","[-0.03903549164533615, 0.023596378043293953, 0.12254179269075394, -0.007122568786144257, -5.5155716836452484e-05]","[-0.0003997257153969258, -0.0002507950412109494, 0.00027510288055054843, 0.00047698887647129595, -0.0006538823363371193]",,,0.0,0,"[1, 0, 2, 3]",5.9943952560424805,6.200895309448242,"[-0.10942116, 0.06477716, 0.34078079, -0.0184395, -0.00196738]",0.6818285714285713,0.048776988534297905,0.0
7,"[0.4213588833808899, 0.09203125536441803, 0.13612575829029083, 0.35048413276672363, 0.0]","[-0.04769204556941986, 0.03691063076257706, 0.04287264496088028, -0.03931093215942383, 0.0420902855694294]","[0.2879980206489563, 0.06290318816900253, 0.09304170310497284, 0.2395552545785904, 0.3577647805213928]","[-0.04752810671925545, 0.03706267848610878, 0.042703643441200256, -0.039714209735393524, 0.042432669550180435]","[-0.00016394002886954695, -0.00015204174269456416, 0.00016900240734685212, 0.00040327568422071636, -0.0003423776070121676]",,,0.0,0,"[0, 1, 2, 3]",6.021275520324707,6.23555326461792,"[-0.11368816, 0.08798746, 0.10219969, -0.09370929, 0.1003347]",0.6466285714285713,0.07168855657162376,0.0
8,"[0.42077866196632385, 0.10188362002372742, 0.14818699657917023, 0.3291507065296173, 0.0]","[0.002586119808256626, 0.0361289344727993, 0.0444880947470665, -0.07215811312198639, 0.08676710724830627]","[0.2596459984779358, 0.0628683790564537, 0.09144037961959839, 0.20310598611831665, 0.3370114862918854]","[0.002547801472246647, 0.03608265519142151, 0.044492751359939575, -0.07212688028812408, 0.08673441410064697]","[3.832571746897884e-05, 4.627499947673641e-05, -4.674107913160697e-06, -3.120886321994476e-05, 3.266980274929665e-05]",,,0.0,0,"[0, 1, 3, 2]",6.011801242828369,6.337316036224365,"[0.00447771, 0.06255508, 0.07702847, -0.12493744, 0.15023205]",0.6593523809523808,0.04850258880262093,0.0
9,"[0.41519659757614136, 0.13436417281627655, 0.1563921868801117, 0.29404696822166443, 0.0]","[0.03778132051229477, 0.16102805733680725, 0.058965619653463364, -0.10843204706907272, 0.21535898745059967]","[0.23851609230041504, 0.07718756794929504, 0.08984190225601196, 0.16891981661319733, 0.33086884021759033]","[0.03777597099542618, 0.1612021028995514, 0.05860917270183563, -0.1082218587398529, 0.2152034044265747]","[5.345733370631933e-06, -0.00017411942826583982, 0.00035644107265397906, -0.00021020430722273886, 0.00015551647811662406]",,,0.0,0,"[1, 0, 2, 3]",6.104506492614746,6.475119113922119,"[0.04834704, 0.20606029, 0.07545563, -0.13875556, 0.27558511]",0.633752380952381,0.05234000293235863,0.0
10,"[0.40034303069114685, 0.17296119034290314, 0.1580880731344223, 0.2686077654361725, 0.0]","[-0.025405699387192726, 0.16549304127693176, 0.01961027830839157, -0.07770571112632751, 0.17775455117225647]","[0.2113139033317566, 0.09129446744918823, 0.08344396203756332, 0.1417797952890396, 0.3212246894836426]","[-0.025298407301306725, 0.1656959354877472, 0.01931580901145935, -0.07778333127498627, 0.17807430028915405]","[-0.00010728847701102495, -0.00020290886459406465, 0.0002944605075754225, 7.760000153211877e-05, -0.00031976381433196366]",,,0.0,0,"[0, 3, 1, 2]",6.0814409255981445,6.3952555656433105,"[-0.0335057, 0.21825655, 0.02586255, -0.10248032, 0.23442735]",0.6320761904761905,0.04269239280001336,0.0
