round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
11,"[0.0, 0.22706110775470734, 0.12526902556419373, 0.41312524676322937, 0.23454460501670837]","[-0.22232452034950256, -0.03392409533262253, -0.11747024208307266, 0.05243535339832306, -0.019577790051698685]","[-0.3628089725971222, 0.1676955670118332, 0.09251720458269119, 0.30511289834976196, 0.17322248220443726]","[-0.2241249978542328, -0.033386051654815674, -0.11714638024568558, 0.053072817623615265, -0.019758913666009903]","[0.00180047657340765, -0.0005380492657423019, -0.00032384280348196626, -0.0006374494405463338, 0.00018111658573616296]",,,0.0,0,,6.02269172668457,6.3673577308654785,"[-0.37145022, -0.05667892, -0.19626422, 0.08760673, -0.03270973]",0.6230857142857142,0.06679174990582737,0.0
12,"[0.0, 0.20998787879943848, 0.10427860170602798, 0.45059865713119507, 0.2351348102092743]","[-0.1534729301929474, -0.10029605031013489, -0.1149478554725647, 0.1706216037273407, -0.009700151160359383]","[-0.34612196683883667, 0.13812120258808136, 0.06859008222818375, 0.29638487100601196, 0.15466180443763733]","[-0.1572580635547638, -0.10119007527828217, -0.11532825976610184, 0.17187348008155823, -0.010365021415054798]","[0.0037851319648325443, 0.0008940232801251113, 0.000380363198928535, -0.0012518767034634948, 0.0006648787530139089]",,,0.0,0,,6.032240867614746,6.414333820343018,"[-0.19593897, -0.12804802, -0.14675398, 0.21783268, -0.01238419]",0.6195047619047618,0.08305889267541855,0.0
13,"[0.0, 0.19909034669399261, 0.08876214921474457, 0.47381797432899475, 0.23832951486110687]","[-0.2610104978084564, -0.07906366884708405, -0.0809662938117981, 0.02268141880631447, -0.02498551830649376]","[-0.3475314676761627, 0.11339761316776276, 0.05055702477693558, 0.2698765993118286, 0.13574740290641785]","[-0.2651800811290741, -0.07915125787258148, -0.0811999961733818, 0.022235091775655746, -0.026362163946032524]","[0.004169601947069168, 8.75664918567054e-05, 0.0002337117912247777, 0.0004463208024390042, 0.0013766511110588908]",,,0.0,0,,6.064226150512695,6.454397201538086,"[-0.36021701, -0.10911468, -0.11174047, 0.03130231, -0.03448217]",0.6177523809523808,0.06326241887519868,0.0
14,"[0.0, 0.19749125838279724, 0.05903727561235428, 0.49554166197776794, 0.24792978167533875]","[-0.19472472369670868, -0.03780965507030487, -0.13371825218200684, 0.012849729508161545, 0.001119372434914112]","[-0.33662673830986023, 0.09742721170186996, 0.029124515131115913, 0.24446266889572144, 0.12230975180864334]","[-0.19750994443893433, -0.037885937839746475, -0.1332164853811264, 0.013165641576051712, 0.0004887022078037262]","[0.0027852279599756002, 7.627958984812722e-05, -0.0005017857765778899, -0.0003159207699354738, 0.0006306953146122396]",,,0.0,0,,6.149681568145752,6.363370418548584,"[-0.2384842, -0.04630642, -0.16376805, 0.01573738, 0.00137092]",0.5926095238095239,0.047664787208128834,0.0
15,"[0.0, 0.18297532200813293, 0.0802169144153595, 0.5005521178245544, 0.23625564575195312]","[-0.3867204189300537, -0.03621171414852142, 0.12249157577753067, 0.1255960762500763, -0.01124604046344757]","[-0.3371430039405823, 0.0844840407371521, 0.03703805059194565, 0.23111675679683685, 0.1090848296880722]","[-0.3882754445075989, -0.036483705043792725, 0.12328774482011795, 0.12576505541801453, -0.011187845841050148]","[0.001555012073367834, 0.00027198661700822413, -0.0007961446535773575, -0.000168957412824966, -5.823071114718914e-05]",,,0.0,0,,6.136002540588379,6.45002555847168,"[-0.34178928, -0.03200445, 0.10825988, 0.11100368, -0.00993942]",0.6080761904761905,0.06515844726583897,0.0
16,"[0.0, 0.1763095259666443, 0.04496766999363899, 0.5355141162872314, 0.24320869147777557]","[-0.16337940096855164, -0.07015076279640198, -0.13717688620090485, -0.01677727699279785, -0.03935379907488823]","[-0.3225236237049103, 0.06783679127693176, 0.01730174385011196, 0.20604422688484192, 0.09357688575983047]","[-0.16568085551261902, -0.07005913555622101, -0.13749079406261444, -0.01673855632543564, -0.04076099395751953]","[0.0023014594335108995, -9.160320041701198e-05, 0.0003138727624900639, -3.8723595935152844e-05, 0.001407176605425775]",,,0.0,0,,6.079266548156738,6.4757609367370605,"[-0.1909491, -0.08198845, -0.16032499, -0.01960838, -0.04599461]",0.5699047619047619,0.038694839998405284,0.0
17,"[0.0, 0.17719198763370514, 0.05404426157474518, 0.5241363048553467, 0.24462750554084778]","[-0.40204885601997375, 0.05764941871166229, 0.06352363526821136, 0.09756417572498322, 0.0806354358792305]","[-0.316962331533432, 0.06488031893968582, 0.019788755103945732, 0.19191685318946838, 0.08957239240407944]","[-0.403087317943573, 0.05759398266673088, 0.06358612328767776, 0.09795695543289185, 0.08064170181751251]","[0.001038486952893436, 5.5488118960056454e-05, -6.248980207601562e-05, -0.0003927710931748152, -6.215882876858814e-06]",,,0.0,0,,6.173924446105957,6.422491073608398,"[-0.26691082, 0.0382721, 0.04217185, 0.06477057, 0.05353198]",0.6067047619047619,0.06918869823619689,0.0
18,"[0.0, 0.20210480690002441, 0.05799878016114235, 0.5212873816490173, 0.218609020113945]","[0.31184113025665283, 0.0763520896434784, 0.010372339747846127, -0.045434243977069855, -0.10870964825153351]","[-0.2568128705024719, 0.06535886228084564, 0.018756279721856117, 0.1685796082019806, 0.07069617509841919]","[0.31366634368896484, 0.07676996290683746, 0.011142779141664505, -0.04572989046573639, -0.10868938267230988]","[-0.0018252127338200808, -0.00041785548091866076, -0.0007704636664129794, 0.00029565076692961156, -2.0302413759054616e-05]",,,0.0,0,,6.132003307342529,6.456167697906494,"[0.28453246, 0.06966576, 0.00946401, -0.04145546, -0.09918969]",0.5904,0.06274325966825711,0.0
19,"[0.0, 0.17835256457328796, 0.03795085474848747, 0.5721627473831177, 0.21153388917446136]","[0.2762705087661743, -0.14241884648799896, -0.08558271825313568, 0.011599751189351082, -0.09113956242799759]","[-0.20932117104530334, 0.04757959395647049, 0.010124251246452332, 0.15263739228248596, 0.05643146485090256]","[0.27828115224838257, -0.14326080679893494, -0.085854671895504, 0.011278838850557804, -0.09271298348903656]","[-0.0020106229931116104, 0.0008419787627644837, 0.00027198161114938557, 0.0003209002024959773, 0.0015734181506559253]",,,0.0,0,,6.09768009185791,6.464432716369629,"[0.21810414, -0.11243378, -0.06756401, 0.00915752, -0.07195091]",0.5859809523809524,0.06336339985423911,0.0
20,"[0.0, 0.18991513550281525, 0.041941702365875244, 0.5542266964912415, 0.21391648054122925]","[-0.216553196310997, 0.058624766767024994, 0.017509113997220993, 0.007050981745123863, 0.03225765377283096]","[-0.20476970076560974, 0.047256167978048325, 0.010436262004077435, 0.137907013297081, 0.05322837084531784]","[-0.2169477343559265, 0.058741793036460876, 0.017676709219813347, 0.00709434412419796, 0.03215453401207924]","[0.0003945331263821572, -0.00011700047616614029, -0.00016760632570367306, -4.333831020630896e-05, 0.00010318031127098948]",,,0.0,0,,6.117238521575928,6.3705315589904785,"[-0.1638066, 0.04434533, 0.01324436, 0.00533355, 0.02440055]",0.6198095238095237,0.08581140991483471,0.0
