round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.0, 0.3078711926937103, 0.14894147217273712, 0.3382578194141388, 0.20492956042289734]","[-0.14660950005054474, 0.26601260900497437, 0.1286911815404892, 0.2922678291797638, 0.17706705629825592]","[-0.42780596017837524, 0.7762237787246704, 0.37552037835121155, 0.8528364300727844, 0.5166810154914856]","[-0.14247557520866394, 0.2633762061595917, 0.1285085380077362, 0.2884959578514099, 0.17680366337299347]","[-0.004133919719606638, 0.002636358141899109, 0.00018264329992234707, 0.0037718273233622313, 0.00026333212736062706]",,,0.0,0,"[4, 3, 1, 2]",6.368542671203613,6.4518585205078125,"[-0.42780596, 0.77622378, 0.37552038, 0.85283643, 0.51668102]",0.6873904761904762,0.060404438178953745,0.0
2,"[0.0, 0.36465778946876526, 0.0, 0.4016403257846832, 0.2337019145488739]","[-0.22652122378349304, 0.013116933405399323, 0.21352705359458923, 0.02059413120150566, -0.047579724341630936]","[-0.45499393343925476, 0.7026529908180237, 0.4039232134819031, 0.7739139795303345, 0.45031633973121643]","[-0.22751109302043915, 0.012617016211152077, 0.21424958109855652, 0.020426668226718903, -0.048536475747823715]","[0.0009898747084662318, 0.0004999052034690976, -0.0007225116132758558, 0.0001674722443567589, 0.0009567574015818536]",,,0.0,0,"[3, 1, 4, 0]",6.2388763427734375,6.400074481964111,"[-0.69968587, 0.040516, 0.65954906, 0.0636118, -0.14696574]",0.6873142857142858,0.05755073603210081,0.0
3,"[0.0, 0.3018084764480591, 0.18109160661697388, 0.32241764664649963, 0.19468232989311218]","[0.11660920828580856, 0.1455577164888382, 0.13978445529937744, 0.08645373582839966, 0.10258755087852478]","[-0.3741084337234497, 0.6765584945678711, 0.4059497117996216, 0.7227576971054077, 0.43641579151153564]","[0.11652331054210663, 0.14564421772956848, 0.1397167146205902, 0.08651070296764374, 0.10261590033769608]","[8.589745266363025e-05, -8.649189840070903e-05, 6.772241613361984e-05, -5.6993903854163364e-05, -2.838789441739209e-05]",,,0.0,0,"[4, 1, 3, 2]",6.033076763153076,6.355279922485352,"[0.35386094, 0.44170773, 0.42418829, 0.26235148, 0.31131098]",0.7010285714285714,0.011650477832511053,0.0
4,"[0.0, 0.29009273648262024, 0.19231346249580383, 0.3239852786064148, 0.1936085820198059]","[-0.1445605605840683, -0.017012305557727814, 0.09905962646007538, 0.06613960862159729, 0.02784135565161705]","[-0.38688981533050537, 0.6029958724975586, 0.3997487723827362, 0.673445999622345, 0.4024408757686615]","[-0.14350362122058868, -0.01636188104748726, 0.09874211251735687, 0.06516818702220917, 0.02795645408332348]","[-0.0010569286532700062, -0.0006504093762487173, 0.00031753236544318497, 0.0009714329498820007, -0.00011509270552778617]",,,0.0,0,"[4, 3, 1, 2]",5.9800190925598145,6.4235100746154785,"[-0.50192237, -0.05906768, 0.34394059, 0.22964042, 0.09666675]",0.7415619047619048,0.05380591389242917,0.0
5,"[0.0, 0.2798674702644348, 0.20404943823814392, 0.32361677289009094, 0.19246628880500793]","[0.13320203125476837, -0.010621743276715279, 0.09527592360973358, 0.04921054467558861, 0.024311821907758713]","[-0.30178022384643555, 0.5389946699142456, 0.3929772973060608, 0.6232511401176453, 0.3706693947315216]","[0.13292090594768524, -0.01025830116122961, 0.095242939889431, 0.04877795651555061, 0.024374868720769882]","[0.0002811273734550923, -0.000363434839528054, 3.298611773061566e-05, 0.0004325716872699559, -6.304170528892428e-05]",,,0.0,0,"[4, 3, 1, 2]",5.945131778717041,6.441514015197754,"[0.46420592, -0.03701652, 0.33203432, 0.17149758, 0.08472613]",0.7408761904761904,0.054195865188793824,0.0
6,"[0.0, 0.3447803854942322, 0.0, 0.41463160514831543, 0.24058797955513]","[0.19901233911514282, -0.029549410566687584, 0.06072504073381424, 0.028285151347517967, -0.006696061231195927]","[-0.2016042321920395, 0.4747018814086914, 0.37503817677497864, 0.5708746910095215, 0.3312472701072693]","[0.19879837334156036, -0.029754702001810074, 0.06038271635770798, 0.027784224599599838, -0.006697945762425661]","[0.00021397251111920923, 0.00020529072207864374, 0.0003423534508328885, 0.0005009298329241574, 1.8934603076559142e-06]",,,0.0,0,"[3, 4, 1, 0]",5.986785888671875,6.391149997711182,"[0.69997948, -0.10393316, 0.21358617, 0.09948642, -0.02355183]",0.7118476190476191,0.10667060576286286,0.0
7,"[0.0, 0.259980171918869, 0.23060932755470276, 0.31897473335266113, 0.1904357373714447]","[-0.19610565900802612, 0.022038765251636505, 0.18837237358093262, 0.06938339024782181, 0.0765521228313446]","[-0.22957079112529755, 0.43264028429985046, 0.38376346230506897, 0.5308148264884949, 0.31690946221351624]","[-0.1962824910879135, 0.021533330902457237, 0.18857790529727936, 0.06916572898626328, 0.07593550533056259]","[0.00017684034537523985, 0.0005054438370279968, -0.00020554247021209449, 0.00021769139857497066, 0.0006166237290017307]",,,0.0,0,"[1, 3, 4, 2]",6.058209419250488,6.5423760414123535,"[-0.48126981, 0.05408611, 0.4622913, 0.17027622, 0.18786927]",0.7488,0.08082727050308736,0.0
8,"[0.0, 0.34853968024253845, 0.0, 0.4145258665084839, 0.23693443834781647]","[0.09993646293878555, 0.030291249975562096, 0.029651278629899025, -0.0035752388648688793, -0.03492626175284386]","[-0.16966959834098816, 0.4005742073059082, 0.35634845495224, 0.4764116704463959, 0.2723070979118347]","[0.09978217631578445, 0.03051496483385563, 0.02953053079545498, -0.003510862123221159, -0.03461088240146637]","[0.00015427768812514842, -0.0002237200242234394, 0.00012075702397851273, -6.437309639295563e-05, -0.0003153876750729978]",,,0.0,0,"[1, 3, 4, 0]",6.06382942199707,6.519871234893799,"[0.36944106, 0.11197946, 0.10961364, -0.0132168, -0.12911399]",0.6831999999999999,0.054640645631001905,0.0
9,"[0.0, 0.257070392370224, 0.2522399425506592, 0.3086940050125122, 0.181995689868927]","[-0.1890432983636856, 0.042300086468458176, 0.21490465104579926, 0.07254775613546371, 0.08326126635074615]","[-0.18871137499809265, 0.3685740530490875, 0.36164841055870056, 0.44258928298950195, 0.26093590259552]","[-0.18852853775024414, 0.042700547724962234, 0.21445488929748535, 0.07282660901546478, 0.083188496530056]","[-0.0005147480987943709, -0.0004004596848972142, 0.0004497854970395565, -0.00027887572650797665, 7.278655539266765e-05]",,,0.0,0,"[3, 1, 4, 2]",6.006139755249023,6.530055999755859,"[-0.36008748, 0.08057271, 0.40934789, 0.13818812, 0.15859509]",0.7431619047619047,0.07039075271318318,0.0
10,"[0.0, 0.35035109519958496, 0.0, 0.4091683030128479, 0.24048057198524475]","[0.08823926746845245, 0.03940558806061745, 0.01858501508831978, 0.007697945460677147, 0.001958154607564211]","[-0.14468567073345184, 0.34295007586479187, 0.33078163862228394, 0.4005247950553894, 0.2354005128145218]","[0.08802581578493118, 0.03920290619134903, 0.018412698060274124, 0.0076523106545209885, 0.00206974009051919]","[0.0002134522655978799, 0.00020269576634746045, 0.00017231224046554416, 4.564133632811718e-05, -0.00011158195411553606]",,,0.0,0,"[1, 3, 4, 0]",6.018373012542725,6.508214473724365,"[0.25154555, 0.11233435, 0.0529807, 0.0219447, 0.00558215]",0.688,0.07842646022623734,0.0
