round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.301608681678772, 0.23892800509929657, 0.24530574679374695, 0.0, 0.2141575813293457]","[0.17444556951522827, 0.1381920874118805, 0.14188086986541748, 0.12369178980588913, 0.1238652765750885]","[0.6158742308616638, 0.487882524728775, 0.5009056329727173, 0.43668970465660095, 0.43730220198631287]","[0.17392680048942566, 0.13781079649925232, 0.1414235234260559, 0.12397844344377518, 0.12349142134189606]","[0.0005187802598811686, 0.0003812806389760226, 0.00045735781895928085, -0.00028668507002294064, 0.0003738829691428691]",,,0.0,0,"[1, 4, 2, 0]",6.271869659423828,6.425448417663574,"[0.61587423, 0.48788252, 0.50090563, 0.4366897, 0.4373022]",0.7289142857142856,0.04866742418751063,0.0
2,"[0.3009416162967682, 0.23620183765888214, 0.24295848608016968, 0.0, 0.2198980748653412]","[0.004916256293654442, -0.006450587883591652, -0.004496583715081215, 0.08678673207759857, 0.0327419750392437]","[0.5562171339988708, 0.4365614950656891, 0.4490495026111603, 0.4270971417427063, 0.40642794966697693]","[0.0038447845727205276, -0.008375991135835648, -0.005631323903799057, 0.08794260025024414, 0.03160320967435837]","[0.0010714740492403507, 0.0019254157086834311, 0.0011347461258992553, -0.0011558330152183771, 0.0011387860868126154]",,,0.0,0,"[2, 1, 0, 4]",6.097691059112549,6.246992588043213,"[0.01930345, -0.02532793, -0.01765563, 0.34076408, 0.12855984]",0.6058666666666667,0.030913306872235924,0.0
3,"[0.0, 0.24494056403636932, 0.25346583127975464, 0.26762670278549194, 0.23396696150302887]","[0.08419748395681381, 0.0699639543890953, 0.08070456981658936, 0.22955846786499023, 0.09927946329116821]","[0.5252904891967773, 0.4134257137775421, 0.42781516909599304, 0.451716810464859, 0.3949037790298462]","[0.08378948271274567, 0.06969480216503143, 0.0803695097565651, 0.22912654280662537, 0.09913017600774765]","[0.00040799877024255693, 0.0002691243716981262, 0.00033506701583974063, 0.0004319855070207268, 0.0001492747978772968]",,,0.0,0,"[1, 2, 3, 4]",6.058416843414307,6.201074123382568,"[0.24695089, 0.20520401, 0.2367062, 0.67329413, 0.29118627]",0.6847238095238095,0.021500576071245836,0.0
4,"[0.308363139629364, 0.23805376887321472, 0.2362009435892105, 0.0, 0.21738217771053314]","[0.08427218347787857, 0.047473661601543427, 0.007942963391542435, 0.10346933454275131, 0.004699547775089741]","[0.5068621039390564, 0.39129331707954407, 0.3882477581501007, 0.4484139084815979, 0.3573150336742401]","[0.08513607084751129, 0.0477854423224926, 0.008059196174144745, 0.10394014418125153, 0.005085348151624203]","[-0.0008638733997941017, -0.00031175921321846545, -0.00011620870645856485, -0.00047078492934815586, -0.00038579609827138484]",,,0.0,0,"[1, 2, 4, 0]",5.992041110992432,6.083553314208984,"[0.3410067, 0.19210178, 0.03214113, 0.41868782, 0.01901668]",0.6400000000000001,0.07136685892558203,0.0
5,"[0.3074454367160797, 0.2344665825366974, 0.23448055982589722, 0.0, 0.22360743582248688]","[-0.014889844693243504, -0.023344561457633972, -0.015593319199979305, 0.15772992372512817, 0.01779181882739067]","[0.45087116956710815, 0.3438471257686615, 0.34386759996414185, 0.459766149520874, 0.32792210578918457]","[-0.0158793143928051, -0.025278538465499878, -0.016369817778468132, 0.15732711553573608, 0.015637168660759926]","[0.0009894672548398376, 0.0019339912105351686, 0.0007764832698740065, 0.0004027656395919621, 0.002154640154913068]",,,0.0,0,"[1, 2, 4, 0]",5.996530055999756,6.13067102432251,"[-0.0530473, -0.08316848, -0.05555353, 0.56193644, 0.06338602]",0.6086857142857144,0.014726213013262601,0.0
6,"[0.0, 0.2304198294878006, 0.20734670758247375, 0.3428831994533539, 0.21935030817985535]","[0.028003577142953873, 0.02097082883119583, -0.10123663395643234, 0.21216407418251038, 0.01789374276995659]","[0.4130133390426636, 0.31487613916397095, 0.2833459675312042, 0.46856099367141724, 0.2997492849826813]","[0.028461314737796783, 0.021347956731915474, -0.10146073251962662, 0.21225377917289734, 0.018322575837373734]","[-0.0004577449581120163, -0.00037714303471148014, 0.00022410289966501296, -8.972565410658717e-05, -0.0004288329801056534]",,,0.0,0,"[1, 4, 2, 3]",5.945437908172607,6.146567344665527,"[0.072293, 0.05413752, -0.26134875, 0.54771495, 0.04619383]",0.628647619047619,0.0365602406306883,0.0
7,"[0.3403639495372772, 0.232828289270401, 0.1946866661310196, 0.0, 0.2321210354566574]","[0.10672660917043686, -0.023774607107043266, -0.079867884516716, 0.14641132950782776, 0.018689151853322983]","[0.403820276260376, 0.27623602747917175, 0.2309834063053131, 0.46575218439102173, 0.2753969132900238]","[0.10743924975395203, -0.023482080549001694, -0.08000946789979935, 0.14683938026428223, 0.018362313508987427]","[-0.000712647452019155, -0.0002925060980487615, 0.00014159429701976478, -0.0004280238354112953, 0.00032682999153621495]",,,0.0,0,"[1, 0, 4, 2]",6.051516532897949,6.1382155418396,"[0.32108289, -0.07152499, -0.24027945, 0.44047284, 0.05622559]",0.6557714285714286,0.04855842852311554,0.0
8,"[0.0, 0.21295642852783203, 0.16847042739391327, 0.4038405418395996, 0.21473263204097748]","[0.037731051445007324, -0.022116441279649734, -0.07335510849952698, 0.21863511204719543, -0.008201508782804012]","[0.3710083067417145, 0.24417515099048615, 0.19316764175891876, 0.4630422592163086, 0.2462117224931717]","[0.037964705377817154, -0.021734114736318588, -0.07389082759618759, 0.218544602394104, -0.009447162039577961]","[-0.00023365179367829114, -0.0003823260485660285, 0.000535722472704947, 9.044422768056393e-05, 0.0012456434778869152]",,,0.0,0,"[1, 2, 4, 3]",5.985662937164307,6.183348178863525,"[0.07570072, -0.04437274, -0.14717411, 0.43865287, -0.01645488]",0.6271238095238095,0.02277666253599342,0.0
9,"[0.37847402691841125, 0.22619777917861938, 0.1534748524427414, 0.0, 0.24185332655906677]","[0.09301197528839111, -0.022394120693206787, -0.1107483059167862, 0.1107366681098938, 0.027710100635886192]","[0.35799482464790344, 0.21395821869373322, 0.14517033100128174, 0.44541555643081665, 0.22876664996147156]","[0.09323760122060776, -0.021987251937389374, -0.11062268912792206, 0.11095535755157471, 0.028029032051563263]","[-0.00022562372032552958, -0.0004068731504958123, -0.0001256270770682022, -0.00021866655151825398, -0.0003189377603121102]",,,0.0,0,"[1, 4, 0, 2]",6.061062335968018,6.082284927368164,"[0.24087362, -0.05799418, -0.28680548, 0.28677535, 0.071761]",0.6373333333333334,0.06731852443165587,0.0
10,"[0.3928198516368866, 0.22578968107700348, 0.13928045332431793, 0.0, 0.242110013961792]","[0.021346542984247208, -0.02932785078883171, -0.08511064946651459, 0.2398017793893814, -0.02811054326593876]","[0.32597586512565613, 0.18736830353736877, 0.11557986587285995, 0.4433438181877136, 0.2009114921092987]","[0.02249031886458397, -0.027943499386310577, -0.08579379320144653, 0.2385091930627823, -0.02770863100886345]","[-0.0011437736684456468, -0.0013843690976500511, 0.0006831441423855722, 0.0012925785267725587, -0.00040188906132243574]",,,0.0,0,"[1, 4, 2, 0]",6.061016082763672,6.1347880363464355,"[0.03780556, -0.05194077, -0.15073428, 0.42469826, -0.04978487]",0.6249904761904762,0.09125754133026154,0.0
